,distance,force
0,0.0,0.09585084312129766
1,0.00413223123177886,0.09585084312129766
2,0.00826446246355772,0.09585084312129766
3,0.01239669369533658,0.0945378178730607
4,0.01652892492711544,0.09847689361777157
5,0.0206611561588943,0.09585084312129766
6,0.02479338739067316,0.09585084312129766
7,0.02892561862245202,0.09585084312129766
8,0.03305784985423088,0.09585084312129766
9,0.03719008108600974,0.09585084312129766
10,0.0413223123177886,0.09585084312129766
11,0.04545454354956746,0.09585084312129766
12,0.04958677478134632,0.0945378178730607
13,0.05371900601312518,0.09585084312129766
14,0.05785123724490404,0.09585084312129766
15,0.0619834684766829,0.09585084312129766
16,0.06611569970846176,0.09585084312129766
17,0.07024793094024062,0.09585084312129766
18,0.07438016217201948,0.09585084312129766
19,0.07851239340379834,0.09716386836953461
20,0.0826446246355772,0.09585084312129766
21,0.08677685586735606,0.09585084312129766
22,0.09090908709913492,0.09585084312129766
23,0.09504131833091378,0.0945378178730607
24,0.09917354956269264,0.09585084312129766
25,0.1033057807944715,0.09585084312129766
26,0.10743801202625036,0.09585084312129766
27,0.11157024325802922,0.09585084312129766
28,0.11570247448980808,0.0945378178730607
29,0.11983470572158694,0.09585084312129766
30,0.1239669369533658,0.0945378178730607
31,0.12809916818514466,0.0945378178730607
32,0.13223139941692352,0.09585084312129766
33,0.13636363064870238,0.0945378178730607
34,0.14049586188048124,0.0945378178730607
35,0.1446280931122601,0.09585084312129766
36,0.14876032434403896,0.09585084312129766
37,0.15289255557581782,0.09585084312129766
38,0.15702478680759668,0.0945378178730607
39,0.16115701803937554,0.09585084312129766
40,0.1652892492711544,0.0945378178730607
41,0.16942148050293326,0.09585084312129766
42,0.17355371173471212,0.0945378178730607
43,0.17768594296649098,0.0945378178730607
44,0.18181817419826984,0.0945378178730607
45,0.1859504054300487,0.0945378178730607
46,0.19008263666182756,0.0945378178730607
47,0.19421486789360642,0.09585084312129766
48,0.19834709912538528,0.0945378178730607
49,0.20247933035716414,0.09322479262482375
50,0.206611561588943,0.09585084312129766
51,0.21074379282072186,0.0945378178730607
52,0.21487602405250072,0.0945378178730607
53,0.21900825528427958,0.0945378178730607
54,0.22314048651605844,0.09585084312129766
55,0.2272727177478373,0.09585084312129766
56,0.23140494897961617,0.0945378178730607
57,0.23553718021139503,0.0945378178730607
58,0.23966941144317389,0.09585084312129766
59,0.24380164267495275,0.0945378178730607
60,0.2479338739067316,0.09322479262482375
61,0.25206610513851047,0.09322479262482375
62,0.2561983363702893,0.0945378178730607
63,0.2603305676020682,0.0945378178730607
64,0.26446279883384705,0.0945378178730607
65,0.2685950300656259,0.09585084312129766
66,0.27272726129740477,0.0945378178730607
67,0.2768594925291836,0.0945378178730607
68,0.2809917237609625,0.09322479262482375
69,0.28512395499274135,0.0945378178730607
70,0.2892561862245202,0.0945378178730607
71,0.29338841745629907,0.0945378178730607
72,0.2975206486880779,0.09585084312129766
73,0.3016528799198568,0.09585084312129766
74,0.30578511115163565,0.0945378178730607
75,0.3099173423834145,0.09585084312129766
76,0.31404957361519337,0.09585084312129766
77,0.3181818048469722,0.0945378178730607
78,0.3223140360787511,0.0945378178730607
79,0.32644626731052995,0.09322479262482375
80,0.3305784985423088,0.09322479262482375
81,0.33471072977408767,0.0945378178730607
82,0.3388429610058665,0.09716386836953461
83,0.3429751922376454,0.09322479262482375
84,0.34710742346942425,0.09322479262482375
85,0.3512396547012031,0.0945378178730607
86,0.35537188593298197,0.0945378178730607
87,0.35950411716476083,0.0945378178730607
88,0.3636363483965397,0.09585084312129766
