folder,profile_name,surface_ini,surface_old,surface_new
20151130,S36M0031,115.44214876033058,116.94007774372585,114.8966893996112
20151130,S36M0032,118.42561983471074,120.4111519784201,118.36363140307367
20151130,S36M0033,121.13223140495867,123.6342923392076,120.76858997996897
20151203,S36M0037,180.40495867768595,182.64255432900973,180.36776103591546
20151203,S36M0038,180.15289256198346,181.40288495947607,178.29751318879426
20151203,S36M0039,178.17355371900825,180.1632155899424,178.26445533894002
20151203,S36M0040,176.23553719008265,178.4276784725953,176.06610832363367
20151204,S36M0046,177.92561983471074,180.41114946384914,179.00825696066022
20151204,S36M0047,176.87190082644628,179.17148009431548,176.45453805942088
20151204,S36M0048,176.04545454545453,178.92354622040875,178.0330503899604
20151204,S36M0050,176.66528925619835,178.92354622040875,176.61156284622848
20151205,S36M0053,179.51239669421489,181.15495108556934,179.3264387655072
20151205,S36M0056,176.93388429752065,178.67561234650202,176.8057777141221
20151205,S36M0057,177.53305785123968,179.41941396822222,177.42561239888892
20151206,S36M0060,179.41322314049586,180.65908333775587,179.19833959732205
20151206,S36M0063,178.32231404958677,180.1632155899424,178.2685875701718
20151206,S36M0064,178.17355371900825,179.41941396822222,177.99172807764262
20151207,S36M0067,176.29338842975207,178.67561234650202,179.05784373544157
20151207,S36M0071,179.51239669421489,179.91528171603568,175.75205875001848
20151207,S36M0072,176.19421487603304,179.17148009431548,177.98759584641084
20151208,S36M0076,174.45454545454547,176.1962736074347,174.30991005012766
20151208,S36M0077,175.79338842975207,177.43594297696836,174.74792656069621
20151208,S36M0078,174.10330578512398,175.4524719857145,183.07024026149884
20151208,S36M0079,177.1818181818182,182.14668658119626,180.93387671466917
20151209,S36M0082,173.91322314049586,177.6838768508751,174.66114970482886
20151209,S36M0083,173.94214876033058,177.43594297696836,174.789248873014
20151209,S36M0084,174.51239669421489,177.18800910306163,175.13222406525165
20151209,S36M0085,172.95454545454547,176.69214135524817,173.3016456295736
20151209,S36M0086,172.78512396694214,176.44420748134144,173.3636290980503
20151210,S36M0089,158.67355371900825,160.82437342521735,157.86776197887957
20151210,S36M0090,158.77272727272728,160.5764395513106,158.12809254648164
20151210,S36M0091,159.91322314049586,161.07230729912408,158.54131566965953
20151210,S36M0093,160.35537190082644,162.55991054256447,159.41734869079664
20151211,S36M0096,161.51239669421489,164.79131540772505,162.59916673926637
20151211,S36M0099,161.31404958677686,164.54338153381832,162.78511714469641
20151211,S36M0100,163.07438016528926,166.27891865116544,163.10743118077517
20151212,S36M0103,164.17355371900825,165.28718315553851,163.9999931268394
20151212,S36M0104,163.42561983471074,166.52685252507217,163.63635677844286
20151212,S36M0105,165.32231404958677,166.7747863989789,163.6487534721382
20151212,S36M0106,164.01239669421489,167.76652189460583,165.18594349035993
20151212,S36M0107,165.13223140495867,168.01445576851256,164.3512327815406
20151213,S36M0111,164.28512396694214,166.27891865116544,163.42974521685392
20151213,S36M0112,164.67355371900825,167.5185880206991,164.19834022596478
20151213,S36M0113,164.27272727272728,166.0309847772587,164.0991666764021
20151213,S36M0114,161.86363636363637,166.0309847772587,162.87189400056377
20151214,S36M0118,162.24380165289256,164.54338153381832,163.297513817437
20151214,S36M0119,163.28512396694214,165.78305090335198,163.41734852315858
20151214,S36M0120,160.79338842975207,164.04751378600486,160.39668749272823
20151214,S36M0121,162.88429752066116,165.28718315553851,162.2975138593465
20151215,S36M0124,155.19421487603304,157.84916693833657,155.32643977133557
