folder,profile_name_1,profile_name_2,similarity_before,similarity_after,lag,offset_mm
20151130,S36M0031,S36M0032,0.8553631567621959,0.9199527681452222,607,2.508264357689768
20151130,S36M0031,S36M0033,0.8804838946040776,0.8838745851729947,676,2.7933883126825094
20151130,S36M0032,S36M0033,0.8225764126814988,0.8224342640822627,-25,-0.1033057807944715
20151203,S36M0037,S36M0038,0.7386474087125835,0.7580336018824118,283,1.1694214385934174
20151203,S36M0037,S36M0039,0.7264527972512743,0.7481404167206953,96,0.39669419825077057
20151203,S36M0037,S36M0040,0.6276323786190521,0.6284712816196508,6,0.02479338739067316
20151203,S36M0038,S36M0039,0.6111557294067729,0.6123604305976598,-36,-0.14876032434403896
20151203,S36M0038,S36M0040,0.46474963677729475,0.4688981255820676,-126,-0.5206611352041364
20151203,S36M0039,S36M0040,0.5433745912628316,0.5504165039833047,-90,-0.3719008108600974
20151204,S36M0046,S36M0047,0.7410819407583351,0.7563338807330593,-313,-1.2933883755467832
20151204,S36M0046,S36M0048,0.6253204567086816,0.6361920131939304,-359,-1.4834710122086108
20151204,S36M0046,S36M0050,0.5374460476757333,0.5650113237231339,-270,-1.1157024325802922
20151204,S36M0047,S36M0048,0.6235360309622332,0.6304020065623483,-147,-0.6074379910714924
20151204,S36M0047,S36M0050,0.5182059315341309,0.5151326483014884,-489,-2.0206610723398626
20151204,S36M0048,S36M0050,0.7726620937735614,0.7685993500884846,-239,-0.9876032643951476
20151205,S36M0053,S36M0056,0.6200975703190893,0.6235409271899208,-24,-0.09917354956269264
20151205,S36M0053,S36M0057,0.5522029029555465,0.5626526873864492,-311,-1.2851239130832255
20151205,S36M0056,S36M0057,0.9009236975426115,0.8965570970879309,-272,-1.12396689504385
20151206,S36M0060,S36M0063,0.5092927521107319,0.7504203820532461,-573,-2.367768495809287
20151206,S36M0060,S36M0064,0.7547158121805863,0.7721468988262638,-84,-0.34710742346942425
20151206,S36M0063,S36M0064,0.5285787931170443,0.6011748931127104,442,1.8264462044462562
20151207,S36M0067,S36M0071,0.6967223203836569,0.6968002796342869,-1,-0.00413223123177886
20151207,S36M0067,S36M0072,0.722430819464874,0.7627992470556202,197,0.8140495526604354
20151207,S36M0071,S36M0072,0.7899511124184204,0.8183321954650379,299,1.2355371383018792
20151208,S36M0076,S36M0077,0.5842158851021765,0.6941468980737666,688,2.8429750874638557
20151208,S36M0076,S36M0078,0.5412395052529881,0.6929509688973758,495,2.0454544597305357
20151208,S36M0076,S36M0079,0.4827068723244552,0.5374744377500345,600,2.479338739067316
20151208,S36M0077,S36M0078,0.8017864517021657,0.8137267539953279,114,0.47107436042279005
20151208,S36M0077,S36M0079,0.7222419281975218,0.7151447402966133,-81,-0.33471072977408767
20151208,S36M0078,S36M0079,0.6676616457005909,0.6698289178751472,18,0.07438016217201948
20151209,S36M0082,S36M0083,0.5797695262325202,0.5859009203507485,41,0.16942148050293326
20151209,S36M0082,S36M0084,0.4993278406411159,0.5258758385909404,-378,-1.5619834056124091
20151209,S36M0082,S36M0085,0.5730245315725043,0.5805453104143868,-180,-0.7438016217201948
20151209,S36M0082,S36M0086,0.40386568848477933,0.4573815778057375,-462,-1.9090908290818334
20151209,S36M0083,S36M0084,0.6062541395079205,0.5988065069522815,-367,-1.5165288620628417
20151209,S36M0083,S36M0085,0.45672394904577657,0.46906820901728935,69,0.28512395499274135
20151209,S36M0083,S36M0086,0.5257244156145645,0.572668161967448,-553,-2.2851238711737096
20151209,S36M0084,S36M0085,0.6168529787059066,0.6399349932388361,207,0.855371864978224
20151209,S36M0084,S36M0086,0.5586889071236073,0.566111386476541,-260,-1.0743801202625036
20151209,S36M0085,S36M0086,0.5609367452995877,0.5515571369019963,-662,-2.7355370754376054
20151210,S36M0089,S36M0090,0.6511707311570261,0.6973219984268948,162,0.6694214595481753
20151210,S36M0089,S36M0091,0.5314215653448545,0.6396172125250932,659,2.723140381742269
20151210,S36M0089,S36M0093,0.31493667997491587,0.49999024741102754,1930,7.9752062773332
20151210,S36M0090,S36M0091,0.6809077453480057,0.7129556190325085,226,0.9338842583820224
20151210,S36M0090,S36M0093,0.4165039511444342,0.6502256660968175,1481,6.119834454264492
20151210,S36M0091,S36M0093,0.6165744164176057,0.8024449265319,1289,5.326446057762951
20151211,S36M0096,S36M0099,0.39405554492229233,0.5814177388373021,1586,6.553718733601272
20151211,S36M0096,S36M0100,0.39825695941124434,0.6689868755496,1911,7.896693883929402
20151211,S36M0099,S36M0100,0.5839696919924716,0.7346248413960599,404,1.6694214176386595
20151212,S36M0103,S36M0104,0.7388872628584905,0.8169173894225747,323,1.3347106878645718
20151212,S36M0103,S36M0105,0.6122464081158757,0.6742897405708193,257,1.061983426567167
20151212,S36M0103,S36M0106,0.5722475925289419,0.6790100851980762,579,2.39256188319996
20151212,S36M0103,S36M0107,0.5607948491636601,0.6892786025593507,597,2.4669420453719795
20151212,S36M0104,S36M0105,0.7927221830950116,0.8197577191362793,-121,-0.49999997904524207
20151212,S36M0104,S36M0106,0.6800762414981302,0.7069171426827722,108,0.4462809730321169
20151212,S36M0104,S36M0107,0.7228571699376556,0.83683892885457,278,1.148760282434523
20151212,S36M0105,S36M0106,0.6477101081518198,0.6885951347021864,291,1.2024792884476483
20151212,S36M0105,S36M0107,0.7035208342292161,0.8235434857193112,400,1.652892492711544
20151212,S36M0106,S36M0107,0.785930286881439,0.7883872786782126,108,0.4462809730321169
20151213,S36M0111,S36M0112,0.8129688999283279,0.8360099652772902,541,2.2355370963923633
20151213,S36M0111,S36M0113,0.6059380579885653,0.6159863621154075,-173,-0.7148760030977428
20151213,S36M0111,S36M0114,0.5666475448400369,0.602909300581655,-358,-1.479338780976832
20151213,S36M0112,S36M0113,0.5243634780864003,0.6866597020920583,-714,-2.950413099490106
20151213,S36M0112,S36M0114,0.4840230435515967,0.61936446517165,-911,-3.7644626521505415
20151213,S36M0113,S36M0114,0.7034793592359896,0.751123556207609,-194,-0.8016528589650989
20151214,S36M0118,S36M0119,0.7782446533070874,0.8254040962629001,-190,-0.7851239340379834
20151214,S36M0118,S36M0120,0.7431103760186257,0.8682859931953403,-571,-2.359504033345729
20151214,S36M0118,S36M0121,0.501096925621984,0.6005225698189565,-465,-1.92148752277717
20151214,S36M0119,S36M0120,0.7450341280368997,0.8415396433422069,-382,-1.5785123305395246
20151214,S36M0119,S36M0121,0.6219843998933606,0.7083838439837911,-302,-1.2479338319972157
20151214,S36M0120,S36M0121,0.7101337595661857,0.7258963607749235,109,0.45041320426389575
20151215,S36M0124,S36M0125,0.7938185763957042,0.794535097441316,-50,-0.206611561588943
20151215,S36M0124,S36M0126,0.8622666559053767,0.8632419043834222,365,1.508264399599284
20151215,S36M0124,S36M0127,0.7765678582822414,0.8033359222355427,-174,-0.7190082343295217
20151215,S36M0125,S36M0126,0.591474436356138,0.6171550913982469,369,1.5247933245263994
20151215,S36M0125,S36M0127,0.7882575875424621,0.8162036920970387,-208,-0.8595040962100029
20151215,S36M0126,S36M0127,0.6774397870680235,0.7076509327778885,-543,-2.243801558855921
20151216,S36M0133,S36M0134,0.7935221598264586,0.8275104165527374,-192,-0.7933883965015411
20151216,S36M0133,S36M0135,0.7967637522881471,0.7986207985354791,-188,-0.7768594715744257
20151216,S36M0134,S36M0135,0.7986719529368236,0.8172258588906481,127,0.5247933664359152
20151217,S36M0138,S36M0140,0.8515212830740447,0.9359156769789436,676,2.7933883126825094
20151217,S36M0138,S36M0141,0.8072997598950411,0.8255150066926773,86,0.35537188593298197
20151217,S36M0140,S36M0141,0.7525473332254953,0.8240225162416256,-581,-2.4008263456635177
20151218,S36M0145,S36M0146,0.7104746652574464,0.8540171612220713,246,1.0165288830175996
20151218,S36M0145,S36M0147,0.758197759594848,0.8050909606393155,189,0.7809917028062046
20151218,S36M0145,S36M0148,0.6973732188460006,0.8021967745902041,-534,-2.2066114777699113
20151218,S36M0146,S36M0147,0.9009483061069876,0.8925978351343014,-374,-1.5454544806852937
20151218,S36M0146,S36M0148,0.8941753612808307,0.8691663297651246,-782,-3.2314048232510686
20151218,S36M0147,S36M0148,0.9010113778617449,0.9223157854207946,-408,-1.685950342565775
20151219,S36M0154,S36M0157,0.8578520883989208,0.836302585310986,-465,-1.92148752277717
20151220,S36M0160,S36M0161,0.8327942314929762,0.8117116930725494,-688,-2.8429750874638557
20151220,S36M0160,S36M0162,0.6158745479942552,0.6705843870356988,-516,-2.132231315597892
20151220,S36M0160,S36M0163,0.7014302902347795,0.7165939131748511,-193,-0.79752062773332
20151220,S36M0161,S36M0162,0.6842029526983094,0.684531957696381,-60,-0.2479338739067316
20151220,S36M0161,S36M0163,0.7066103636508735,0.6948796008463725,376,1.5537189431488514
20151220,S36M0162,S36M0163,0.8702934918057251,0.7807856238284384,375,1.5495867119170725
20151221,S36M0167,S36M0168,0.8396529079408442,0.8511107825495319,174,0.7190082343295217
20151221,S36M0167,S36M0173,0.8664156847900574,0.8336051311633116,548,2.2644627150148153
20151221,S36M0168,S36M0173,0.8436917874211283,0.8380004010103316,519,2.1446280092932284
20151222,S36M0180,S36M0183,0.7058882387862682,0.6422394061760499,498,2.0578511534258723
20151222,S36M0180,S36M0184,0.5575607736497286,0.44859698485416977,870,3.5950411716476083
20151222,S36M0183,S36M0184,0.8609060206115048,0.8493825086796618,621,2.566115594934672
20151223,S36M0188,S36M0189,0.7966750550438509,0.7943840198161158,123,0.5082644415087998
20151223,S36M0188,S36M0190,0.8416424249025125,0.8309545643781022,308,1.272727219387889
20151223,S36M0188,S36M0191,0.7154239723383554,0.6893610800606332,153,0.6322313784621656
20151223,S36M0188,S36M0192,0.6178029404733484,0.679772214416587,-354,-1.4628098560497165
20151223,S36M0189,S36M0190,0.7678819411091309,0.7595169095254385,134,0.5537189850583673
20151223,S36M0189,S36M0191,0.6827654006437482,0.5980191545200465,816,3.37190068513155
20151223,S36M0189,S36M0192,0.47462497778532997,0.4753069767936069,-6,-0.02479338739067316
20151223,S36M0190,S36M0191,0.8263002980619991,0.8330913599252696,-282,-1.1652892073616385
20151223,S36M0190,S36M0192,0.711294477262084,0.7180745771043847,-110,-0.4545454354956746
20151223,S36M0191,S36M0192,0.795465336321631,0.7562472301617938,-636,-2.628099063411355
